mechanic,replicate,final_population_size
MK+IE,188,20000
MK+IE,189,20000
MK+IE,190,19999
MK+IE,191,20000
MK+IE,192,20000
MK+IE,193,20000
MK+IE,194,20000
MK+IE,195,20000
MK+IE,196,19996
MK+IE,197,20000
MK+IE,198,20000
MK+IE,199,20000
MK+ER,0,20000
MK+ER,1,20000
MK+ER,2,20000
MK+ER,3,19998
MK+ER,4,20000
MK+ER,5,19999
MK+ER,6,20000
MK+ER,7,20000
MK+ER,8,20000
MK+ER,9,20000
MK+ER,10,20000
MK+ER,11,20000
MK+ER,12,20000
MK+ER,13,20000
MK+ER,14,19999
MK+ER,15,20000
MK+ER,16,20000
MK+ER,17,20000
MK+ER,18,19999
MK+ER,19,20000
MK+ER,20,20000
MK+ER,21,20000
MK+ER,22,19996
MK+ER,23,20000
MK+ER,24,20000
MK+ER,25,20000
MK+ER,26,20000
MK+ER,27,19995
MK+ER,28,20000
MK+ER,29,20000
MK+ER,30,19999
MK+ER,31,20000
MK+ER,32,20000
MK+ER,33,20000
MK+ER,34,20000
MK+ER,35,19999
MK+ER,36,19995
MK+ER,37,20000
MK+ER,38,20000
MK+ER,39,20000
MK+ER,40,19996
MK+ER,41,19997
MK+ER,42,20000
MK+ER,43,19998
MK+ER,44,19998
MK+ER,45,20000
MK+ER,46,19999
MK+ER,47,20000
MK+ER,48,20000
MK+ER,49,20000
MK+ER,50,20000
MK+ER,51,19997
MK+ER,52,20000
MK+ER,53,20000
MK+ER,54,19999
MK+ER,55,20000
MK+ER,56,19999
MK+ER,57,20000
MK+ER,58,19998
MK+ER,59,20000
MK+ER,60,19999
MK+ER,61,20000
MK+ER,62,20000
MK+ER,63,19999
MK+ER,64,20000
MK+ER,65,20000
MK+ER,66,20000
MK+ER,67,20000
MK+ER,68,20000
MK+ER,69,19995
MK+ER,70,20000
MK+ER,71,20000
MK+ER,72,19997
MK+ER,73,20000
MK+ER,74,20000
MK+ER,75,19999
MK+ER,76,19999
MK+ER,77,20000
MK+ER,78,20000
MK+ER,79,20000
MK+ER,80,19995
MK+ER,81,19997
MK+ER,82,20000
MK+ER,83,20000
MK+ER,84,20000
MK+ER,85,19999
MK+ER,86,19999
MK+ER,87,20000
MK+ER,88,19999
MK+ER,89,20000
MK+ER,90,20000
MK+ER,91,19998
MK+ER,92,20000
MK+ER,93,19997
MK+ER,94,20000
MK+ER,95,20000
MK+ER,96,20000
MK+ER,97,20000
MK+ER,98,19996
MK+ER,99,19998
MK+ER,100,19999
MK+ER,101,19992
MK+ER,102,19999
MK+ER,103,19994
MK+ER,104,20000
MK+ER,105,20000
MK+ER,106,20000
MK+ER,107,20000
MK+ER,108,20000
MK+ER,109,20000
MK+ER,110,20000
MK+ER,111,19999
MK+ER,112,20000
MK+ER,113,20000
MK+ER,114,20000
MK+ER,115,20000
MK+ER,116,20000
MK+ER,117,20000
MK+ER,118,20000
MK+ER,119,19998
MK+ER,120,19997
MK+ER,121,20000
MK+ER,122,20000
MK+ER,123,20000
MK+ER,124,19998
MK+ER,125,20000
MK+ER,126,19997
MK+ER,127,19998
MK+ER,128,19998
MK+ER,129,19999
MK+ER,130,20000
MK+ER,131,20000
MK+ER,132,20000
MK+ER,133,19998
