genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HT,M,11,free swimming,11-2018,1.227204818079743,1.272291317668906,2.4048980931577355
rei-HT,M,39,free swimming,11-2018,1.2391512698474094,1.2484748574074098,2.1554682498939925
rei-HT,M,5,free swimming,11-2018,1.365109875075201,1.3830040169860098,2.8113010239434155
rei-HT,M,23,free swimming,11-2018,1.5937742933775239,1.8699034326241932,4.362844815191442
rei-HT,M,27,free swimming,11-2018,1.37713420035697,1.389720989824331,2.4257169161629557
rei-HT,M,81,free swimming,11-2018,1.6907732891935106,1.834035966937575,3.37403227881096
rei-HT,M,40,free swimming,11-2018,1.4780145887389968,1.6804250963870149,3.1081529434038684
rei-HT,M,6,free swimming,11-2018,1.0263097340580285,1.104032797928092,2.0291229391920322
rei-HT,M,50,free swimming,11-2018,1.7417369060125352,1.9362782308475615,3.522770236764785
rei-HT,M,70,free swimming,11-2018,1.6793266581146127,1.7412063388705015,3.2614881431922984
rei-HT,M,41,free swimming,11-2018,1.7797658454316316,1.8818323077547088,4.34937549099679
rei-HT,M,36,free swimming,11-2018,1.4981899942765566,1.5042445204705504,2.6756334585301897
rei-HT,M,7,free swimming,11-2018,1.2232512910220854,1.2843009653242252,2.4039589406822515
rei-HT,M,37,free swimming,11-2018,1.2640281327624885,1.3793200173297033,2.4559142546085146
rei-HT,M,71,free swimming,11-2018,1.6781707678059967,1.7711577695601228,3.2482432980620755
rei-HT,M,34,free swimming,11-2018,1.5179398362791856,1.5415335012995333,2.5972846584427796
rei-HT,M,3,free swimming,11-2018,1.9342452825838579,1.9500259706724847,3.0179811143272546
rei-HT,M,24,free swimming,11-2018,1.5699930309074157,1.5921927100221716,2.6941097838826265
rei-HM,F,50,free swimming,11-2018,1.3307440413029115,1.4981829676276828,3.7737807092905578
rei-HM,F,91,free swimming,11-2018,1.3107903204737597,1.4512222971463553,3.3714646678210807
rei-HM,F,31,free swimming,11-2018,1.2781994489339428,1.3253093862550853,2.834429447570534
rei-HM,F,22,free swimming,11-2018,1.3159389310590697,1.4647631910257417,3.4114755061315565
rei-HM,F,35,free swimming,11-2018,1.1715420602065236,1.3873192715080052,2.87170299932087
rei-HM,F,26,free swimming,11-2018,1.4473890754454009,1.5419436198967527,2.9621142798786706
rei-HM,F,6,free swimming,11-2018,1.357878226754886,1.3350059506259628,2.674719203671661
rei-HM,F,10,free swimming,11-2018,1.2918208626281844,1.3071176386415968,2.705969911415595
rei-HM,F,12,free swimming,11-2018,1.2596895034153202,1.357827944314834,3.0583502160640332
rei-HM,F,51,free swimming,11-2018,1.4827332295758762,1.5829738749428446,3.0571186858537835
rei-HM,F,16,free swimming,11-2018,1.5276074293356026,1.6276309877119337,3.203294057604999
rei-HM,F,11,free swimming,11-2018,1.584567392790659,1.6663903128195763,3.4222194503736745
rei-HM,F,2,free swimming,11-2018,1.260894372877046,1.2767993739987424,2.902471949726046
rei-HM,F,80,free swimming,11-2018,1.0466891727744096,1.2131455330790362,2.86771908738602
rei-HM,F,90,free swimming,11-2018,1.3151347555915684,1.382822616386357,2.4160133255518748
rei-HM,F,61,free swimming,11-2018,1.1703729144312112,1.370182466758689,2.8670729195891753
rei-HM,F,15,free swimming,11-2018,1.5661861785363365,1.7127441474665692,2.918325021802921
rei-HM,F,29,free swimming,11-2018,1.3691542363938134,1.5507563831503344,3.4649362883651214
rei-HM,F,21,free swimming,11-2018,1.183318821879976,1.3223719540853713,2.5860345505043933
rei-HM,F,13,free swimming,11-2018,1.50340118780068,1.5213630972301444,2.735660499982444
rei-HM,F,40,free swimming,11-2018,1.4120053573828404,1.5301008618733558,3.4011358273311485
