Timestamp,sex,age,factorial framing,letter_i,tumor,k_position,framing,Steve,letter_ing,Linda,letter_ly,letter_l,Group,microframingID,framingID
04/10/2022 03:29:02,female,19.0,5000.0,3.5,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,3.5,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 03:51:02,male,22.0,700.0,9,100,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 05:53:13,male,19.0,300.0,3.5,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,6,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 07:58:06,female,24.0,300000.0,9,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 08:01:47,female,21.0,10.0,9,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 08:14:15,female,20.0,300000.0,6,40,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
04/10/2022 10:04:10,female,20.0,2000000.0,21,10,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
04/10/2022 11:07:00,female,21.0,10.0,13,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 20:21:22,female,21.0,500.0,9,90,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 23:03:31,male,21.0,362000.0,6,10,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 23:03:50,female,26.0,300.0,21,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
