genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HM,F,13,c-start,08-2019,1.3587588867763216,1.573242184411088,3.82402549945515
rei-HM,F,50,c-start,08-2019,1.5616862699368217,1.6496391636030787,2.7299653077232646
rei-HM,F,8,c-start,08-2019,1.8399203962877393,1.9242714387650854,4.061747285957486
rei-HM,F,34,c-start,08-2019,1.425251954015548,1.5380983820222163,2.9547182270898324
rei-HM,F,19,c-start,08-2019,2.0600210973653903,2.063056710017234,4.4883355881752225
rei-HM,F,25,c-start,08-2019,1.7136314346480561,1.7238419640173297,2.966822904021093
rei-HM,F,22,c-start,08-2019,1.5930316428104097,1.6915064174579846,4.559600708778631
rei-HM,F,15,c-start,08-2019,1.4304850081825644,1.574775136195529,3.6449133930556328
rei-HM,F,91,c-start,08-2019,1.8831793537142345,1.940805119235095,3.808353861071855
rei-HM,F,21,c-start,08-2019,1.7185620690504204,1.892826371536079,3.7930752598090285
