genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-INT,F,24,counter current,11-2018,1.86000151621141,1.9061928054818373,4.367178734227487
rei-INT,M,60,counter current,11-2018,1.5930858238652275,1.7552108560930162,4.343340526446001
rei-INT,M,29,counter current,11-2018,2.0375019700725643,2.158028845407237,5.430406646335054
rei-INT,M,20,counter current,11-2018,1.054223260833934,1.2181121163992172,3.1963520681935176
rei-INT,M,25,counter current,11-2018,1.6376630374944592,1.7594526700290614,4.741017177891606
rei-INT,M,21,counter current,11-2018,1.1201288082345744,1.2468217224538398,2.9521675810746286
rei-INT,M,32,counter current,11-2018,1.6091366869107395,1.711231309946778,4.078471961191167
rei-INT,M,17,counter current,11-2018,1.7765329041634907,1.960129682065368,5.526193315506362
rei-INT,M,90,counter current,11-2018,2.1480499110813613,2.201113479627836,6.451733872069596
rei-INT,M,26,counter current,11-2018,1.707525247178516,1.8167110479902067,3.7382521099173474
rei-INT,M,22,counter current,11-2018,1.41224246549336,1.5452066313271369,3.552272511533671
rei-INT,M,31,counter current,11-2018,1.3197559291845666,1.495451158755919,3.370571785478803
rei-INT,M,50,counter current,11-2018,1.3228161449944493,1.4870372392518432,3.6752577634051615
rei-INT,M,18,counter current,11-2018,1.2380468549671462,1.3763654009564097,2.8906542250363745
rei-INT,M,30,counter current,11-2018,1.4902061155518467,1.6530201578572261,4.3459473919363125
rei-INT,M,27,counter current,11-2018,2.011166015456448,2.1059338718504668,5.203166973854056
rei-INT,M,80,counter current,11-2018,1.2800173581898848,1.4202003843097737,4.7141921166187295
rei-INT,M,19,counter current,11-2018,1.5300389657522908,1.6942953422060756,3.6109192271879387
rei-INT,M,40,counter current,11-2018,1.3921325558647557,1.4874841470132107,4.29527053177393
rei-INT,M,28,counter current,11-2018,1.4620037418584921,1.6313915724938286,3.787398705666422
rei-INT,M,70,counter current,11-2018,1.5350573660534952,1.6434921156440905,3.7096591405875783
rei-INT,M,16,counter current,11-2018,1.5138105816668064,1.7455611795724955,5.000590049645782
rei-INT,M,33,counter current,11-2018,1.4250783158520237,1.6755674601209798,4.736839455421668
rei-INT,M,24,counter current,11-2018,1.2800999303386678,1.469309337469473,3.4560693908673734
rei-HT,F,61,counter current,11-2018,1.0425201595472402,1.1847921619764803,3.0406253646244688
rei-HT,F,42,counter current,11-2018,1.5038063553346745,1.639529443529419,4.042053701994864
rei-HT,F,33,counter current,11-2018,1.5079011270807254,1.6528428861413906,3.5505889549346716
rei-HT,F,47,counter current,11-2018,1.4915920645326808,1.728857935668383,4.01792764783549
rei-HT,F,37,counter current,11-2018,1.2027366483391475,1.414333306214737,3.5461857839494026
rei-HT,F,40,counter current,11-2018,1.6169960630085458,1.754650328979408,3.8698584923224764
rei-HT,F,51,counter current,11-2018,1.5439512882087993,1.675335724626541,3.923829805082368
rei-HT,F,80,counter current,11-2018,1.4623830860713138,1.6071568987961373,3.66408335919766
rei-HT,F,91,counter current,11-2018,1.4934229216498345,1.58729860223724,3.7383601970129643
rei-HT,F,50,counter current,11-2018,1.083284383902539,1.2250849306484286,2.9228797780719233
