,saccade_peak_s,saccade_start_idx,sacc_peak_idx,saccade_stop_idx,amplitude_deg,top_speed_degPs,saccade_duration_s,direction,id,category,Bodypart,abs_speed_degPs,median_abs_rot_vel_degPs,median_translational_vel_mPs
153,2.4,58,60.0,61,2009.2253294385312,330.8879607126789,0.09800091758083766,right,51,body,body,330.8879607126789,53.02687464029354,0.35415396310282726
154,2.6,32,65.0,73,16558.32629373262,-730.3663052963598,1.629253871729922,left,51,body,body,730.3663052963598,66.4234236082633,1.0258537654738733
155,5.68,128,142.0,145,-5119.384610398463,-293.5846948284523,0.6528768074147513,left,51,body,body,293.5846948284523,65.02294463077163,0.9305376707845909
156,0.64,7,16.0,26,23269.376960700498,995.859262529782,0.7629080591215033,right,52,body,body,995.859262529782,483.3491599589138,0.0678295834727545
157,2.24,39,56.0,62,17410.306630377123,864.9421342870662,0.9165353769793945,right,52,body,body,864.9421342870662,85.70868339301967,0.025696857259194704
158,2.8,63,70.0,77,-14064.72147121082,-914.0144669900641,0.5249402129725925,left,52,body,body,914.0144669900641,103.75814392867326,0.01178825352408352
159,3.96,93,99.0,106,15183.659457850566,797.8504337354221,0.5154231494602698,right,52,body,body,797.8504337354221,160.21084005460864,0.021578881823441823
160,4.48,92,112.0,121,-584.3153629785884,-946.5824009200873,1.138623473358508,left,52,body,body,946.5824009200873,93.47762810879843,0.014102009934847363
161,5.24,123,131.0,139,8160.255237357828,404.4899589072222,0.6539565975833017,right,52,body,body,404.4899589072222,126.92389134072002,0.40144900784913934
162,5.88,141,147.0,154,6408.389537109543,374.70563741362895,0.541210703377734,right,52,body,body,374.70563741362895,28.360606601671634,1.6900524149875378
163,9.68,225,242.0,248,-6232.709238219906,-323.0690771855123,0.9154504885027108,left,52,body,body,323.0690771855123,191.3380203638816,1.1213276119288063
164,0.16,3,4.0,5,-2175.7575262653045,-482.4052234230579,0.09798152698222878,left,54,body,body,482.4052234230579,26.08190779717905,33.65573358336872
166,0.56,11,14.0,21,9860.57969823559,693.1439804825525,0.38686033107820145,right,54,body,body,693.1439804825525,48.83814531435373,6.7341938455606964
167,1.6,24,40.0,47,18831.36763547125,898.5274883055234,0.9408075525989906,right,54,body,body,898.5274883055234,76.33625002955978,0.036807018616892215
168,3.04,70,76.0,112,-17059.477381073637,-720.2845458536834,1.6849162204844874,left,54,body,body,720.2845458536834,40.402476875688095,1.608835442773321
169,6.36,153,159.0,164,-5661.44582496624,-364.17587737316325,0.4184569536385311,left,54,body,body,364.17587737316325,313.0732609841225,0.1367632376361336
170,2.2,47,55.0,58,3653.59938347191,269.19810045009785,0.4272470032126566,right,55,body,body,269.19810045009785,120.75742752204751,1.7942923431989435
171,2.56,58,64.0,82,-4310.203085803871,-275.4935386009726,0.9627916839380655,left,55,body,body,275.4935386009726,199.55306553048544,0.019260005560620214
172,4.76,117,119.0,124,5475.70369010259,393.7235794540655,0.2629169936211207,right,55,body,body,393.7235794540655,124.79149043368878,1.0204456025390647
173,4.88,121,122.0,123,1702.1287010881845,383.343634602812,0.06167390319763968,right,55,body,body,383.343634602812,127.76890465533128,0.891928848732161
174,5.12,112,128.0,148,16272.369430671193,540.241352648529,1.4456803980558692,right,55,body,body,540.241352648529,59.547713443610206,1.342414460094083
175,6.4,151,160.0,173,-15301.095401159422,-537.0356868381637,0.8765270950627598,left,55,body,body,537.0356868381637,367.72270094728935,1.3985444463970442
176,6.6,163,165.0,166,-3012.4891476111025,-452.4533625156134,0.10033987808182246,left,55,body,body,452.4533625156134,1076.6174180287,1.2624391166095985
177,8.12,196,203.0,206,6841.841642386952,518.2433943319306,0.4134032279160681,right,55,body,body,518.2433943319306,65.5030347868852,0.22706104528544482
178,8.36,206,209.0,215,-5848.855903794182,-535.5924518742877,0.3383854775924544,left,55,body,body,535.5924518742877,103.06052700151511,0.0973847300976749
179,9.64,238,241.0,246,8735.977063477883,617.9482073580529,0.3303997704360643,right,55,body,body,617.9482073580529,131.14887419821852,1.5285984794315137
180,1.72,31,43.0,68,-25012.09880880046,-636.2321090934231,1.4652529103344398,left,56,body,body,636.2321090934231,103.50362065362297,0.9784129268013111
181,2.28,51,57.0,61,-9095.667810609375,-482.14054622946037,0.404137628672834,left,56,body,body,482.14054622946037,102.1763649622045,1.8389615982446816
182,3.72,71,93.0,96,5543.987278523618,282.30597333495757,0.978309768833264,right,56,body,body,282.30597333495757,62.58372988434857,1.440425209898696
183,6.68,160,167.0,171,-6056.572569933113,-423.6861036070336,0.43495180653127025,left,56,body,body,423.6861036070336,271.186604410957,0.04477916465771821
184,7.04,159,176.0,192,19760.62133616325,963.8235079866556,1.3103234257582141,right,56,body,body,963.8235079866556,100.30987289922706,0.3440836260555451
185,7.4,182,185.0,187,7430.157211103502,744.5104721869096,0.1862740856172911,right,56,body,body,744.5104721869096,45.49156756323427,0.43871879638938105
186,9.28,223,232.0,238,4561.692123957975,335.9628485351989,0.5751476862164612,right,56,body,body,335.9628485351989,260.64566729328646,2.4929879637995245
187,0.8,7,20.0,30,14266.242230704172,636.468016454674,0.9277096552024179,right,59,body,body,636.468016454674,80.35221800192946,0.2586055060310685
188,5.6,139,140.0,143,7054.780483041677,806.9322830727638,0.1623457535410603,right,59,body,body,806.9322830727638,177.65180988029456,1.170397750531705
189,5.88,125,147.0,161,34408.55141760292,1057.7059476174838,1.4129125088808205,right,59,body,body,1057.7059476174838,34.73010277351918,1.373590413688014
190,0.96,14,24.0,34,-16049.97096683459,-771.0406439559088,0.7643410041096397,left,60,body,body,771.0406439559088,81.03653770087753,0.02502755172554553
191,1.84,42,46.0,50,-3182.77834697245,-317.97771592706414,0.29670249106740615,left,60,body,body,317.97771592706414,240.67126395258938,1.318745705691458
192,2.44,51,61.0,65,18411.31103738959,1151.7463312297496,0.5630462523942293,right,60,body,body,1151.7463312297496,934.9774919691334,1.3846754203448022
193,2.72,65,68.0,81,-13160.423774667663,-658.4117443235868,0.647310988191407,left,60,body,body,658.4117443235868,72.2609143955168,1.0330333431945378
194,3.08,74,77.0,80,-4475.427527709921,-438.64808944692635,0.2369975555200358,left,60,body,body,438.64808944692635,65.2746882024303,0.6338303655643415
195,6.28,154,157.0,166,-9339.257125451273,-446.8499023557384,0.4664051735705971,left,60,body,body,446.8499023557384,253.66831571395778,0.2404134233026124
196,6.44,160,161.0,161,-865.1304138284162,-386.63559336331537,0.05782193903170878,left,60,body,body,386.63559336331537,247.1856497508412,0.1834192044256344
197,6.92,153,173.0,180,-23306.343213088006,-670.4893492892899,1.062253034134967,left,60,body,body,670.4893492892899,194.44036044429964,0.025163225117176325
198,7.08,176,177.0,177,-1157.4997933477357,-527.7087436108814,0.04949668844101211,left,60,body,body,527.7087436108814,47.48646392238882,0.02452802522406119
