sex,stimulus_01_name,stimulus_01_amplitude,stimulus_01_amplitude_unit,preference_index,decision_duration_index,id
female,Salt,8.0,%,0.9575420031560382,0.9559060279756684,female_8.0
male,Salt,8.0,%,0.5116895589279818,0.5146139042578782,male_8.0
female,Salt,8.0,%,-0.7274981183866827,-0.7053367323734635,female_8.0
male,Salt,8.0,%,0.9961969272685992,0.995637736831825,male_8.0
female,Salt,8.0,%,-0.9393209504840428,-1.0,female_8.0
male,Salt,8.0,%,0.996461095207656,0.9956903359732846,male_8.0
female,Salt,8.0,%,-0.9664866567244366,-0.9530830577708616,female_8.0
male,Salt,8.0,%,-0.9316695879587124,-0.9974108170310702,male_8.0
female,Salt,8.0,%,0.8650490526473452,0.9126027186852008,female_8.0
male,Salt,8.0,%,-0.959208659116837,-0.9917402127178094,male_8.0
female,Salt,8.0,%,0.9624179649911884,0.9577863327787426,female_8.0
male,Salt,8.0,%,1.0,1.0,male_8.0
female,Salt,8.0,%,-0.4638736823055693,-0.8937972812806368,female_8.0
male,Salt,8.0,%,-0.9468179944594088,-0.946817994459409,male_8.0
female,Salt,8.0,%,0.997552862004359,0.9975518323005126,female_8.0
male,Salt,8.0,%,-0.3874596257369905,-0.3870951193737367,male_8.0
female,Salt,8.0,%,0.9268268545641676,0.9485593618958976,female_8.0
male,Salt,8.0,%,-0.3352223443011624,-0.2724419016758645,male_8.0
female,Salt,8.0,%,0.8417103795000704,0.8406394050124602,female_8.0
male,Salt,8.0,%,0.9766867621434762,0.9755336729804523,male_8.0
female,Salt,8.0,%,-0.9724063854216822,-1.0,female_8.0
male,Salt,8.0,%,0.9884402716443388,0.9930258508461968,male_8.0
female,Salt,8.0,%,-0.9961427846388088,-0.9960343228200372,female_8.0
male,Salt,8.0,%,1.0,,male_8.0
female,Salt,8.0,%,-1.0,,female_8.0
male,Salt,8.0,%,-0.7532001946433359,-0.7680721081622434,male_8.0
female,Salt,8.0,%,0.9902418409881096,0.990260956424023,female_8.0
male,Salt,8.0,%,0.4521936112235853,0.4517856556165193,male_8.0
female,Salt,8.0,%,0.9985182990072602,0.99848769837144,female_8.0
male,Salt,8.0,%,-0.9851945539766386,-0.9833580732161152,male_8.0
female,Salt,8.0,%,0.982234753632904,1.0,female_8.0
male,Salt,8.0,%,1.0,,male_8.0
female,Salt,8.0,%,-0.0371764511225323,-0.0126407771108613,female_8.0
male,Salt,8.0,%,0.9747964614899576,0.9775470787059392,male_8.0
female,Salt,8.0,%,-0.9984810876894008,-0.9980740097004146,female_8.0
male,Salt,8.0,%,0.99520050403973,0.9951920845747594,male_8.0
