structure,compartment,time_s,p_fwer
Bouton,g2,64.25,1.0
Bouton,g2,64.5,1.0
Bouton,g2,64.75,1.0
Bouton,g2,65.0,1.0
Bouton,g2,65.25,1.0
Bouton,g2,65.5,1.0
Bouton,g2,65.75,1.0
Bouton,g2,66.0,1.0
Bouton,g2,66.25,1.0
Bouton,g2,66.5,1.0
Bouton,g2,66.75,1.0
Bouton,g2,67.0,1.0
Bouton,g2,67.25,1.0
Bouton,g2,67.5,1.0
Bouton,g2,67.75,1.0
Bouton,g2,68.0,1.0
Bouton,g2,68.25,1.0
Bouton,g2,68.5,1.0
Bouton,g2,68.75,1.0
Bouton,g2,69.0,1.0
Bouton,g2,69.25,1.0
Bouton,g2,69.5,1.0
Bouton,g2,69.75,1.0
Bouton,g2,70.0,1.0
Bouton,g2,70.25,1.0
Bouton,g2,70.5,1.0
Bouton,g2,70.75,1.0
Bouton,g2,71.0,1.0
Bouton,g2,71.25,0.8846930846930847
Bouton,g2,71.5,1.0
Bouton,g2,71.75,1.0
Bouton,g2,72.0,1.0
Bouton,g2,72.25,1.0
Bouton,g2,72.5,1.0
Bouton,g2,72.75,1.0
Bouton,g2,73.0,1.0
Bouton,g2,73.25,1.0
Bouton,g2,73.5,1.0
Bouton,g2,73.75,1.0
Bouton,g2,74.0,1.0
Bouton,g2,74.25,1.0
Bouton,g2,74.5,1.0
Bouton,g2,74.75,1.0
Bouton,g2,75.0,1.0
Bouton,g2,75.25,1.0
Bouton,g2,75.5,1.0
Bouton,g2,75.75,1.0
Bouton,g2,76.0,1.0
Bouton,g2,76.25,1.0
Bouton,g2,76.5,1.0
Bouton,g2,76.75,1.0
Bouton,g2,77.0,0.9672105672105672
Bouton,g2,77.25,1.0
Bouton,g2,77.5,1.0
Bouton,g2,77.75,1.0
Bouton,g2,78.0,1.0
Bouton,g2,78.25,1.0
Bouton,g2,78.5,1.0
Bouton,g2,78.75,1.0
Bouton,g2,79.0,1.0
Bouton,g2,79.25,1.0
Bouton,g2,79.5,1.0
Bouton,g2,79.75,1.0
Bouton,g2,80.0,1.0
Bouton,g2,80.25,1.0
Bouton,g2,80.5,1.0
Bouton,g2,80.75,1.0
Bouton,g2,81.0,1.0
Bouton,g2,81.25,1.0
Bouton,g2,81.5,1.0
Bouton,g2,81.75,1.0
Bouton,g2,82.0,1.0
Bouton,g2,82.25,1.0
Bouton,g2,82.5,1.0
Bouton,g2,82.75,0.6798756798756799
Bouton,g2,83.0,1.0
Bouton,g2,83.25,1.0
Bouton,g2,83.5,1.0
Bouton,g2,83.75,1.0
Bouton,g2,84.0,1.0
Bouton,g2,84.25,1.0
Bouton,g2,84.5,1.0
Bouton,g2,84.75,1.0
Bouton,g2,85.0,1.0
Bouton,g2,85.25,1.0
Bouton,g2,85.5,1.0
Bouton,g2,85.75,1.0
Bouton,g2,86.0,1.0
Bouton,g2,86.25,1.0
Bouton,g2,86.5,1.0
Bouton,g2,86.75,1.0
Bouton,g2,87.0,1.0
Bouton,g2,87.25,1.0
Bouton,g2,87.5,1.0
Bouton,g2,87.75,1.0
Bouton,g2,88.0,1.0
Bouton,g2,88.25,1.0
Bouton,g2,88.5,1.0
Bouton,g2,88.75,1.0
Bouton,g2,89.0,1.0
Bouton,g2,89.25,1.0
Bouton,g2,89.5,1.0
Bouton,g2,89.75,1.0
Bouton,g2,90.0,1.0
Bouton,g3,-10.0,1.0
Bouton,g3,-9.75,1.0
