genotype,contrast,compartment,time_s,p_fwer
dnc-wt,Bouton_vs_Axon,g2,84.25,1.0
dnc-wt,Bouton_vs_Axon,g2,84.5,1.0
dnc-wt,Bouton_vs_Axon,g2,84.75,1.0
dnc-wt,Bouton_vs_Axon,g2,85.0,1.0
dnc-wt,Bouton_vs_Axon,g2,85.25,0.125
dnc-wt,Bouton_vs_Axon,g2,85.5,1.0
dnc-wt,Bouton_vs_Axon,g2,85.75,1.0
dnc-wt,Bouton_vs_Axon,g2,86.0,1.0
dnc-wt,Bouton_vs_Axon,g2,86.25,1.0
dnc-wt,Bouton_vs_Axon,g2,86.5,1.0
dnc-wt,Bouton_vs_Axon,g2,86.75,0.125
dnc-wt,Bouton_vs_Axon,g2,87.0,0.125
dnc-wt,Bouton_vs_Axon,g2,87.25,0.125
dnc-wt,Bouton_vs_Axon,g2,87.5,1.0
dnc-wt,Bouton_vs_Axon,g2,87.75,1.0
dnc-wt,Bouton_vs_Axon,g2,88.0,1.0
dnc-wt,Bouton_vs_Axon,g2,88.25,0.75
dnc-wt,Bouton_vs_Axon,g2,88.5,1.0
dnc-wt,Bouton_vs_Axon,g2,88.75,1.0
dnc-wt,Bouton_vs_Axon,g2,89.0,1.0
dnc-wt,Bouton_vs_Axon,g2,89.25,1.0
dnc-wt,Bouton_vs_Axon,g2,89.5,1.0
dnc-wt,Bouton_vs_Axon,g2,89.75,1.0
dnc-wt,Bouton_vs_Axon,g2,90.0,1.0
dnc-wt,Bouton_vs_Axon,g3,-10.0,1.0
dnc-wt,Bouton_vs_Axon,g3,-9.75,1.0
dnc-wt,Bouton_vs_Axon,g3,-9.5,1.0
dnc-wt,Bouton_vs_Axon,g3,-9.25,1.0
dnc-wt,Bouton_vs_Axon,g3,-9.0,1.0
dnc-wt,Bouton_vs_Axon,g3,-8.75,1.0
dnc-wt,Bouton_vs_Axon,g3,-8.5,1.0
dnc-wt,Bouton_vs_Axon,g3,-8.25,1.0
dnc-wt,Bouton_vs_Axon,g3,-8.0,1.0
dnc-wt,Bouton_vs_Axon,g3,-7.75,1.0
dnc-wt,Bouton_vs_Axon,g3,-7.5,1.0
dnc-wt,Bouton_vs_Axon,g3,-7.25,1.0
dnc-wt,Bouton_vs_Axon,g3,-7.0,1.0
dnc-wt,Bouton_vs_Axon,g3,-6.75,1.0
dnc-wt,Bouton_vs_Axon,g3,-6.5,1.0
dnc-wt,Bouton_vs_Axon,g3,-6.25,1.0
dnc-wt,Bouton_vs_Axon,g3,-6.0,1.0
dnc-wt,Bouton_vs_Axon,g3,-5.75,1.0
dnc-wt,Bouton_vs_Axon,g3,-5.5,1.0
dnc-wt,Bouton_vs_Axon,g3,-5.25,1.0
dnc-wt,Bouton_vs_Axon,g3,-5.0,1.0
dnc-wt,Bouton_vs_Axon,g3,-4.75,1.0
dnc-wt,Bouton_vs_Axon,g3,-4.5,1.0
dnc-wt,Bouton_vs_Axon,g3,-4.25,1.0
dnc-wt,Bouton_vs_Axon,g3,-4.0,1.0
dnc-wt,Bouton_vs_Axon,g3,-3.75,1.0
dnc-wt,Bouton_vs_Axon,g3,-3.5,1.0
dnc-wt,Bouton_vs_Axon,g3,-3.25,1.0
dnc-wt,Bouton_vs_Axon,g3,-3.0,1.0
dnc-wt,Bouton_vs_Axon,g3,-2.75,1.0
dnc-wt,Bouton_vs_Axon,g3,-2.5,1.0
dnc-wt,Bouton_vs_Axon,g3,-2.25,1.0
dnc-wt,Bouton_vs_Axon,g3,-2.0,0.828125
dnc-wt,Bouton_vs_Axon,g3,-1.75,1.0
dnc-wt,Bouton_vs_Axon,g3,-1.5,1.0
dnc-wt,Bouton_vs_Axon,g3,-1.25,1.0
dnc-wt,Bouton_vs_Axon,g3,-1.0,1.0
dnc-wt,Bouton_vs_Axon,g3,-0.75,1.0
dnc-wt,Bouton_vs_Axon,g3,-0.5,1.0
dnc-wt,Bouton_vs_Axon,g3,-0.25,1.0
dnc-wt,Bouton_vs_Axon,g3,0.0,1.0
dnc-wt,Bouton_vs_Axon,g3,0.25,1.0
dnc-wt,Bouton_vs_Axon,g3,0.5,1.0
dnc-wt,Bouton_vs_Axon,g3,0.75,1.0
dnc-wt,Bouton_vs_Axon,g3,1.0,1.0
dnc-wt,Bouton_vs_Axon,g3,1.25,1.0
dnc-wt,Bouton_vs_Axon,g3,1.5,1.0
dnc-wt,Bouton_vs_Axon,g3,1.75,0.0390625
dnc-wt,Bouton_vs_Axon,g3,2.0,0.0390625
dnc-wt,Bouton_vs_Axon,g3,2.25,0.0390625
dnc-wt,Bouton_vs_Axon,g3,2.5,0.0390625
dnc-wt,Bouton_vs_Axon,g3,2.75,0.0390625
